readcode,medcode,readterm,definiteanxiety,possibleanxiety,incident,censoring
1B1..00,3328,general nervous symptoms,0,1,1,0
1B12.00,29608,'nerves' - nervousness,0,1,1,0
1B12.11,3586,nerves',0,1,1,0
1B12.12,514,tension - nervous,0,1,1,0
1B13.00,131,anxiousness,1,0,1,0
1B13.11,5902,anxiousness - symptom,1,0,1,0
1B13.12,93401,anxious,1,0,1,0
1B14.00,29569,Tenseness,0,1,1,0
1B14.11,2585,Tenseness - symptom,0,1,1,0
1B1H.11,5347,Fear,0,1,1,0
1B1L.00,5719,stress related problem,0,1,1,0
1B1T.00,9642,feeling stressed,0,1,1,0
1B1V.00,11890,c/o - panic attack,1,0,1,0
1B1Z.00,20089,general nervous symptom nos,0,1,1,0
1Ba0.00,18494,obsessional thoughts,1,0,1,0
1P3..00,22654,compulsive behaviour,1,0,1,0
2258.00,13124,o/e - anxious,1,0,1,0
2259.00,8725,o/e - nervous,1,0,1,0
225J.00,19000,o/e - panic attack,1,0,1,0
28Z..00,25213,nervous syst/mental state nos,1,0,1,0
67J..00,9134,stress counselling,0,1,1,0
8CAZ000,108107,patient given advice about management of anxiety,1,0,1,0
8G94.00,9125,anxiety management training,1,0,1,0
8HHp.00,28925,referral for guided self-help for anxiety,1,0,1,0
8IH5300,114506,referral for guided self-help for anxiety declined,1,0,1,0
9ON..00,35808,stress monitoring admin.,0,1,1,0
9ON..11,58610,stress clinic administration,0,1,1,0
9ON1.00,63249,attends stress monitoring,0,1,1,0
9ON2.00,51349,refuses stress monitoring,0,1,1,0
9ON3.00,96504,stress monitoring default,0,1,1,0
9ON4.00,35648,stress monitoring 1st letter,0,1,1,0
9ON5.00,56220,stress monitoring 2nd letter,0,1,1,0
9ON6.00,106542,stress monitoring 3rd letter,0,1,1,0
9ON7.00,99737,stress monitoring verbal inv.,0,1,1,0
9ON8.00,96503,stress monitoring phone invite,0,1,1,0
9ON9.00,57856,stress monitoring deleted,0,1,1,0
9ONA.00,37248,stress monitoring check done,0,1,1,0
9ONZ.00,70751,stress monitoring admin.nos,0,1,1,0
16ZB100,101422,feeling low or worried,0,1,1,0
E200.00,636,anxiety states,1,0,1,0
E200000,6939,anxiety state unspecified,1,0,1,0
E200100,4069,panic disorder,1,0,1,0
E200111,462,panic attack,1,0,1,0
E200200,4659,generalised anxiety disorder,1,0,1,0
E200300,655,anxiety with depression,1,0,1,0
E200400,1758,chronic anxiety,1,0,1,0
E200500,4634,recurrent anxiety,1,0,1,0
E200z00,4534,anxiety state nos,1,0,1,0
E202.12,9944,phobic anxiety,1,0,1,0
E202100,3076,agoraphobia with panic attacks,1,0,1,0
E202200,12838,agoraphobia without mention of panic attacks,1,0,1,0
E203.00,3208,obsessive-compulsive disorders,1,0,1,0
E203.11,47365,anancastic neurosis,1,0,1,0
E203000,5678,compulsive neurosis,1,0,1,0
E203100,2030,obsessional neurosis,1,0,1,0
E203z00,15566,obsessive-compulsive disorder nos,1,0,1,0
E205.11,1582,nervous exhaustion,0,1,1,0
E20z.11,791,nervous breakdown,0,1,1,0
E214.00,20881,compulsive personality disorders,1,0,1,0
E214100,1293,obsessional personality,1,0,1,0
E214z00,34456,compulsive personality disorder nos,1,0,1,0
Eu34114,15220,[x]persistant anxiety depression,1,0,1,0
Eu4..00,23808,"[x]neurotic, stress - related and somoform disorders",1,0,1,0
Eu40.00,9386,[x]phobic anxiety disorders,1,0,1,0
Eu40000,2571,[x]agoraphobia,1,0,1,0
Eu40011,16729,[x]agoraphobia without history of panic disorder,1,0,1,0
Eu40012,14890,[x]panic disorder with agoraphobia,1,0,1,0
Eu40y00,27685,[x]other phobic anxiety disorders,1,0,1,0
Eu40z00,34064,"[x]phobic anxiety disorder, unspecified",1,0,1,0
Eu41.00,5385,[x]other anxiety disorders,1,0,1,0
Eu41000,8205,[x]panic disorder [episodic paroxysmal anxiety],1,0,1,0
Eu41011,6408,[x]panic attack,1,0,1,0
Eu41012,4081,[x]panic state,1,0,1,0
Eu41100,10344,[x]generalized anxiety disorder,1,0,1,0
Eu41111,962,[x]anxiety neurosis,1,0,1,0
Eu41112,35825,[x]anxiety reaction,1,0,1,0
Eu41113,50191,[x]anxiety state,1,0,1,0
Eu41200,11913,[x]mixed anxiety and depressive disorder,1,0,1,0
Eu41211,7749,[x]mild anxiety depression,1,0,1,0
Eu41300,44321,[x]other mixed anxiety disorders,1,0,1,0
Eu41y00,24066,[x]other specified anxiety disorders,1,0,1,0
Eu41y11,28167,[x]anxiety hysteria,1,0,1,0
Eu41z00,23838,"[x]anxiety disorder, unspecified",1,0,1,0
Eu41z11,25638,[x]anxiety nos,1,0,1,0
Eu42.00,5304,[x]obsessive - compulsive disorder,1,0,1,0
Eu42.11,24251,[x]anankastic neurosis,1,0,1,0
Eu42.12,21836,[x]obsessive-compulsive neurosis,1,0,1,0
Eu42000,20634,[x]predominantly obsessional thoughts or ruminations,1,0,1,0
Eu42100,22019,[x]predominantly compulsive acts [obsessional rituals],1,0,1,0
Eu42200,18399,[x]mixed obsessional thoughts and acts,1,0,1,0
Eu42y00,38809,[x]other obsessive-compulsive disorders,1,0,1,0
Eu42z00,22721,"[x]obsessive-compulsive disorder, unspecified",1,0,1,0
