prodcode,ingredient,productname,bnftext,formulation,routeofadministration,bnfchapter,strength,systemic,photo,biologic
12250,,spectraban 10 (uvb spf 10) lot,unknown,,,00000000,,,1,
12816,methotrexate sodium,methotrexate 100mg/ml injection,products affecting the immune response in chronic bowel problems/antimetabolites,injection,,01050300/08010300,100mg/ml,1,,
13385,etretinate,tigason 25mg capsule (roche products ltd),preparations for psoriasis,capsule,oral,13050200,25mg,1,,
13428,methotrexate,maxtrex 2.5mg tablets (pfizer ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
13494,ciclosporin,sandimmun 100mg/ml oral solution (novartis pharmaceuticals uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral solution,oral,08020200/10010302/13050300,100mg/1ml,1,,
13556,ciclosporin,sandimmun 100mg capsules (novartis pharmaceuticals uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
14347,methotrexate sodium,methotrexate 20mg/0.8ml solution for injection pre-filled syringes,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
14348,methotrexate sodium,metoject 20mg/2ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intravenous/subcutaneous,01050300/08010300/10010302/13050300,10mg/1ml,1,,
14748,methotrexate sodium,methotrexate sodium 25mg/ml injection,products affecting the immune response in chronic bowel problems/antimetabolites,injection,,01050300/08010300,25mg/ml,1,,
14886,etanercept,enbrel 25mg powder and solvent for solution for injection vials (pfizer ltd),drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,powder and solvent for solution for injection,subcutaneous,10010300/13050350,25mg,,,1
15596,ciclosporin,sandimmun 50mg capsules (novartis pharmaceuticals uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
15921,etanercept,etanercept 25mg powder and solvent for solution for injection vials,drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,powder and solvent for solution for injection,subcutaneous,10010300/13050350,25mg,,,1
16035,ciclosporin,ciclosporin 10mg capsules,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,10mg,1,,
16137,ciclosporin,neoral 10mg capsules (novartis pharmaceuticals uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,10mg,1,,
1626,ciclosporin,ciclosporin 100mg/ml oral solution sugar free,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral solution,oral,08020200/10010302/13050300,100mg/1ml,1,,
16519,methotrexate sodium,methotrexate 25mg/1ml solution for injection pre-filled syringes,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
16540,methotrexate sodium,methotrexate 15mg/0.6ml solution for injection pre-filled syringes,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
16570,methotrexate sodium,methotrexate 7.5mg/0.3ml solution for injection pre-filled syringes,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
16822,infliximab,infliximab 100mg powder for solution for infusion vials,products affecting the immune response in chronic bowel problems/cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,powder for solution for infusion,intravenous,01050300/01050301/10010301/13050350,100mg,,,1
17035,methotrexate,methotrexate 2.5mg/5ml oral suspension,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral suspension,oral,01050300/08010300/10010302/13050300,500microgram/1ml,1,,
17672,methotrexate sodium,methotrexate 22.5mg/0.9ml solution for injection pre-filled syringes,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
18424,methotrexate,methotrexate sodium 2.5mg tablet,products affecting the immune response in chronic bowel problems/antimetabolites,tablet,oral,01050300/08010300,2.5mg,1,,
18890,methotrexate sodium,methotrexate 17.5mg/0.7ml solution for injection pre-filled syringes,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
1905,ciclosporin,neoral 100mg/ml oral solution (novartis pharmaceuticals uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral solution,oral,08020200/10010302/13050300,100mg/1ml,1,,
19257,etanercept,enbrel 50mg powder and solvent for solution for injection vials (wyeth pharmaceuticals),drugs that suppress the rheumatic disease process,powder and solvent for solution for injection,subcutaneous,10010300,50mg,,,1
19370,ciclosporin,ciclosporin 50mg/ml concentrate solution infusion,products affecting the immune response in chronic bowel problems/corticosteroids and other immunosuppressants,concentrate for solution for infusion,intravenous infusion,01050300/08020200,50mg/ml,1,,
20951,methotrexate,methotrexate 2.5mg tablets (advanz pharma),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
21753,methotrexate,maxtrex 10mg tablets (pfizer ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
21889,,methotrexate 25mg/1ml,unknown,,,00000000,,1,,
22392,infliximab,remicade 100mg powder for concentrate for solution for infusion vials (merck sharp & dohme ltd),products affecting the immune response in chronic bowel problems/cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,powder for solution for infusion,intravenous,01050300/01050301/10010301/13050350,100mg,,,1
23850,adalimumab,humira 40mg injection (abbott laboratories ltd),products affecting the immune response in chronic bowel problems/cytokine modulators in rheumatic disease,injection,subcutaneous injection,01050300/10010301,40mg,,,1
24546,,tigason 25 mg tab,unknown,,,00000000,,1,,
24634,methotrexate sodium,methotrexate 25mg/2.5ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intramuscular/subcutaneous,01050300/08010300/10010302/13050300,10mg/1ml,1,,
24783,methotrexate sodium,methotrexate 50mg/2ml injection,products affecting the immune response in chronic bowel problems/antimetabolites,injection,intravenous injection,01050300/08010300,50mg/2ml,1,,
