SNOMEDCode,description
'3422511000001104,Generic E45 emollient wash cream
'1230311000001103,Generic E45 emollient wash cream
'696111000001108,E45 emollient wash cream (Forum Health Products Ltd)
'1814911000001106,E45 emollient wash cream (Forum Health Products Ltd)
'3422411000001103,Generic E45 lotion
'1165511000001109,Generic E45 lotion
'1165711000001104,Generic E45 lotion
'167211000001103,E45 lotion (Forum Health Products Ltd)
'1838711000001106,E45 lotion (Forum Health Products Ltd)
'1839011000001104,E45 lotion (Forum Health Products Ltd)
'3422211000001102,Generic E45 cream
'1082011000001102,Generic E45 cream
'1106411000001102,Generic E45 cream
'1011211000001103,Generic E45 cream
'1262811000001102,Generic E45 cream
'545211000001106,E45 cream (Forum Health Products Ltd)
'1919511000001109,E45 cream (Forum Health Products Ltd)
'1919711000001104,E45 cream (Forum Health Products Ltd)
'1919911000001102,E45 cream (Forum Health Products Ltd)
'1920011000001100,E45 cream (Forum Health Products Ltd)
'3395511000001109,Generic Dermol 600 bath emollient
'1025911000001103,Generic Dermol 600 bath emollient
'919911000001102,Dermol 600 bath emollient (Dermal Laboratories Ltd)
'2257411000001109,Dermol 600 bath emollient (Dermal Laboratories Ltd)
'159411000001102,Oilatum Emollient (GlaxoSmithKline Consumer Healthcare)
'2266911000001107,Oilatum Emollient (GlaxoSmithKline Consumer Healthcare)
'2267011000001106,Oilatum Emollient (GlaxoSmithKline Consumer Healthcare)
'15441211000001103,Oilatum Emollient (GlaxoSmithKline Consumer Healthcare)
'22659911000001108,LPL 63.4 bath additive and emollient (Huxley Europe Ltd)
'22660011000001105,LPL 63.4 bath additive and emollient (Huxley Europe Ltd)
'3395311000001103,Generic Dermol 200 shower emollient
'1133311000001107,Generic Dermol 200 shower emollient
'420611000001105,Dermol 200 shower emollient (Dermal Laboratories Ltd)
'2257711000001103,Dermol 200 shower emollient (Dermal Laboratories Ltd)
'3395411000001105,Generic Dermol 500 lotion
'1262311000001106,Generic Dermol 500 lotion
'553611000001106,Dermol 500 lotion (Dermal Laboratories Ltd)
'2257811000001106,Dermol 500 lotion (Dermal Laboratories Ltd)
'3465711000001106,Generic Emulsiderm emollient
'1179811000001103,Generic Emulsiderm emollient
'1288211000001103,Generic Emulsiderm emollient
'424511000001102,Emulsiderm emollient (Dermal Laboratories Ltd)
'2258011000001104,Emulsiderm emollient (Dermal Laboratories Ltd)
'2258111000001103,Emulsiderm emollient (Dermal Laboratories Ltd)
'3501811000001109,Sodium pidolate 2.5% cream
'1170111000001100,Sodium pidolate 2.5% cream
'949211000001101,Sodium pidolate 2.5% cream
'1244111000001105,Sodium pidolate 2.5% cream
'3392011000001106,Generic Aveeno bath oil
'1192511000001101,Generic Aveeno bath oil
'831211000001108,Aveeno bath oil (Johnson & Johnson Ltd)
'2639111000001108,Aveeno bath oil (Johnson & Johnson Ltd)
'10920211000001101,Aveeno bath oil (Waymade Healthcare Plc)
'10920311000001109,Aveeno bath oil (Waymade Healthcare Plc)
'13834211000001100,Aveeno bath oil (DE Pharmaceuticals)
'13834411000001101,Aveeno bath oil (DE Pharmaceuticals)
'16273811000001103,Aveeno bath oil (Mawdsley-Brooks & Company Ltd)
'16274211000001101,Aveeno bath oil (Mawdsley-Brooks & Company Ltd)
'3392111000001107,Generic Aveeno cream
'1176011000001103,Generic Aveeno cream
'14744211000001102,Generic Aveeno cream
'25594711000001108,Generic Aveeno cream
'892711000001100,Aveeno cream (Johnson & Johnson Ltd)
'2643711000001107,Aveeno cream (Johnson & Johnson Ltd)
'14744311000001105,Aveeno cream (Johnson & Johnson Ltd)
'25594811000001100,Aveeno cream (Johnson & Johnson Ltd)
'10920411000001102,Aveeno cream (Waymade Healthcare Plc)
'10920511000001103,Aveeno cream (Waymade Healthcare Plc)
'24098511000001101,Aveeno cream (Waymade Healthcare Plc)
'13834611000001103,Aveeno cream (DE Pharmaceuticals)
'13834711000001107,Aveeno cream (DE Pharmaceuticals)
'16274311000001109,Aveeno cream (Mawdsley-Brooks & Company Ltd)
'16274411000001102,Aveeno cream (Mawdsley-Brooks & Company Ltd)
'18216511000001106,Aveeno cream (Mawdsley-Brooks & Company Ltd)
'3392211000001101,Generic Aveeno lotion
'1018411000001106,Generic Aveeno lotion
'20470111000001109,Generic Aveeno lotion
'450211000001109,Aveeno lotion (Johnson & Johnson Ltd)
'2644911000001106,Aveeno lotion (Johnson & Johnson Ltd)
'20470311000001106,Aveeno lotion (Johnson & Johnson Ltd)
'15504211000001104,Aveeno lotion (Waymade Healthcare Plc)
'15504311000001107,Aveeno lotion (Waymade Healthcare Plc)
'16274711000001108,Aveeno lotion (Mawdsley-Brooks & Company Ltd)
'16274811000001100,Aveeno lotion (Mawdsley-Brooks & Company Ltd)
'3422311000001105,Generic E45 emollient bath oil
'1277611000001109,Generic E45 emollient bath oil
'1057511000001100,Generic E45 emollient bath oil
'862311000001102,E45 emollient bath oil (Forum Health Products Ltd)
'2645511000001103,E45 emollient bath oil (Forum Health Products Ltd)
'2645611000001104,E45 emollient bath oil (Forum Health Products Ltd)
'331384006,White soft paraffin 50% / Liquid paraffin 50% ointment
'2914611000001105,White soft paraffin 50% / Liquid paraffin 50% ointment
'2914811000001109,White soft paraffin 50% / Liquid paraffin 50% ointment
'2915211000001109,White soft paraffin 50% / Liquid paraffin 50% ointment (A A H Pharmaceuticals Ltd)
'2915411000001108,White soft paraffin 50% / Liquid paraffin 50% ointment (A A H Pharmaceuticals Ltd)
'10134311000001102,White soft paraffin 50% / Liquid paraffin 50% ointment (A A H Pharmaceuticals Ltd)
'2915511000001107,The 50:50 Ointment (The Boots Company Plc)
'2917511000001103,The 50:50 Ointment (The Boots Company Plc)
'3303911000001101,White soft paraffin 50% / Liquid paraffin 50% ointment (Kent Pharmaceuticals Ltd)
'2915911000001100,White soft paraffin 50% / Liquid paraffin 50% ointment (Kent Pharmaceuticals Ltd)
'3302611000001102,White soft paraffin 50% / Liquid paraffin 50% ointment (J M Loveridge Ltd)
'2916011000001108,White soft paraffin 50% / Liquid paraffin 50% ointment (J M Loveridge Ltd)
'3306911000001107,White soft paraffin 50% / Liquid paraffin 50% ointment (Thornton & Ross Ltd)
'2916411000001104,White soft paraffin 50% / Liquid paraffin 50% ointment (Thornton & Ross Ltd)
'3303611000001107,White soft paraffin 50% / Liquid paraffin 50% ointment (Alliance Healthcare (Distribution) Ltd)
'2916611000001101,White soft paraffin 50% / Liquid paraffin 50% ointment (Alliance Healthcare (Distribution) Ltd)
'2916711000001105,White soft paraffin 50% / Liquid paraffin 50% ointment (Alliance Healthcare (Distribution) Ltd)
'2917011000001106,Pure Health Liquid Paraffin/White Soft Paraffin (Lexon (UK) Ltd)
'2917111000001107,Pure Health Liquid Paraffin/White Soft Paraffin (Lexon (UK) Ltd)
'22716711000001101,White soft paraffin 50% / Liquid paraffin 50% ointment (DE Pharmaceuticals)
'30835511000001100,White soft paraffin 50% / Liquid paraffin 50% ointment (DE Pharmaceuticals)
'22717011000001100,White soft paraffin 50% / Liquid paraffin 50% ointment (DE Pharmaceuticals)
'32476311000001104,"Bell's Emollient 50 ointment (Bell,Sons & Co (Druggists) Ltd)"
'32476411000001106,"Bell's Emollient 50 ointment (Bell,Sons & Co (Druggists) Ltd)"
'32476511000001105,"Bell's Emollient 50 ointment (Bell,Sons & Co (Druggists) Ltd)"
'15620411000001108,Cetraben emollient cream (Waymade Healthcare Plc)
'15620511000001107,Cetraben emollient cream (Waymade Healthcare Plc)
'3376311000001102,White soft paraffin 15% / Liquid paraffin light 6% cream
'2984511000001109,White soft paraffin 15% / Liquid paraffin light 6% cream
'2984711000001104,White soft paraffin 15% / Liquid paraffin light 6% cream
'4339311000001105,White soft paraffin 15% / Liquid paraffin light 6% cream
