SNOMEDCode,description
'331821008,Betamethasone valerate 0.025% ointment
'1086411000001107,Betamethasone valerate 0.025% ointment
'331880006,Clobetasone 0.05% cream
'1071111000001104,Clobetasone 0.05% cream
'1131911000001107,Clobetasone 0.05% cream
'1095111000001107,Clobetasone 0.05% cream
'390011000001104,Eumovate 0.05% cream (GlaxoSmithKline UK Ltd)
'1927011000001104,Eumovate 0.05% cream (GlaxoSmithKline UK Ltd)
'1927111000001103,Eumovate 0.05% cream (GlaxoSmithKline UK Ltd)
'134311000001109,Eumovate Eczema and Dermatitis 0.05% cream (GlaxoSmithKline Consumer Healthcare)
'1927311000001101,Eumovate Eczema and Dermatitis 0.05% cream (GlaxoSmithKline Consumer Healthcare)
'5542211000001100,Eumovate 0.05% cream (Dowelhurst Ltd)
'5542311000001108,Eumovate 0.05% cream (Dowelhurst Ltd)
'5615211000001108,Clobetasone 0.05% cream (Dowelhurst Ltd)
'5615611000001105,Clobetasone 0.05% cream (Dowelhurst Ltd)
'13873911000001109,Eumovate 0.05% cream (DE Pharmaceuticals)
'13874011000001107,Eumovate 0.05% cream (DE Pharmaceuticals)
'14229511000001109,Eumovate Eczema and Dermatitis 0.05% cream (Sigma Pharmaceuticals Plc)
'14229611000001108,Eumovate Eczema and Dermatitis 0.05% cream (Sigma Pharmaceuticals Plc)
'16201011000001102,Eumovate 0.05% cream (Waymade Healthcare Plc)
'18341111000001105,Eumovate 0.05% cream (Waymade Healthcare Plc)
'16201111000001101,Eumovate 0.05% cream (Waymade Healthcare Plc)
'16573211000001107,Eumovate 0.05% cream (Mawdsley-Brooks & Company Ltd)
'16573311000001104,Eumovate 0.05% cream (Mawdsley-Brooks & Company Ltd)
'17558511000001100,Eumovate 0.05% cream (Sigma Pharmaceuticals Plc)
'17558611000001101,Eumovate 0.05% cream (Sigma Pharmaceuticals Plc)
'331881005,Clobetasone 0.05% ointment
'1053511000001105,Clobetasone 0.05% ointment
'1037011000001107,Clobetasone 0.05% ointment
'353411000001105,Eumovate 0.05% ointment (GlaxoSmithKline UK Ltd)
'1927511000001107,Eumovate 0.05% ointment (GlaxoSmithKline UK Ltd)
'1927611000001106,Eumovate 0.05% ointment (GlaxoSmithKline UK Ltd)
'13841311000001106,Eumovate 0.05% ointment (Waymade Healthcare Plc)
'13841511000001100,Eumovate 0.05% ointment (Waymade Healthcare Plc)
'18056811000001105,Eumovate 0.05% ointment (Lexon (UK) Ltd)
'18056911000001100,Eumovate 0.05% ointment (Lexon (UK) Ltd)
'22785011000001109,Clobetasone 0.05% ointment (A A H Pharmaceuticals Ltd)
'22785111000001105,Clobetasone 0.05% ointment (A A H Pharmaceuticals Ltd)
'22785211000001104,Clobetasone 0.05% ointment (A A H Pharmaceuticals Ltd)
'331940001,Fluocinolone acetonide 0.00625% cream
'1097911000001100,Fluocinolone acetonide 0.00625% cream
'9511000001103,Synalar 1 in 4 Dilution 0.00625% cream (Reig Jofre UK Ltd)
'2164711000001104,Synalar 1 in 4 Dilution 0.00625% cream (Reig Jofre UK Ltd)
'331820009,Betamethasone valerate 0.025% cream
'1224911000001105,Betamethasone valerate 0.025% cream
'8823711000001108,"Clobetasone 0.05% / Oxytetracycline 3% / Nystatin 100,000units/g cream"
'1319611000001104,"Clobetasone 0.05% / Oxytetracycline 3% / Nystatin 100,000units/g cream"
'35307011000001101,"Clobetasone 0.05% / Oxytetracycline 3% / Nystatin 100,000units/g cream"
'422211000001109,Trimovate cream (Ennogen Healthcare Ltd)
'2191411000001106,Trimovate cream (Ennogen Healthcare Ltd)
'35306911000001100,"Clobetasone 0.05% / Oxytetracycline 3% / Nystatin 100,000units/g cream (Special Order)"
'35633711000001106,"Clobetasone 0.05% / Oxytetracycline 3% / Nystatin 100,000units/g cream (Special Order)"
'35307211000001106,"Clobetasone 0.05% / Oxytetracycline 3% / Nystatin 100,000units/g cream (Special Order)"
'331777001,Alclometasone 0.05% cream
'2894711000001106,Alclometasone 0.05% cream
'20584211000001105,Alclometasone 0.05% cream
'2894811000001103,Modrasone 0.05% cream (Teva UK Ltd)
'2894911000001108,Modrasone 0.05% cream (Teva UK Ltd)
'331778006,Alclometasone 0.05% ointment
'2895111000001109,Alclometasone 0.05% ointment
'2895311000001106,Modrasone 0.05% ointment (Teva UK Ltd)
'2895411000001104,Modrasone 0.05% ointment (Teva UK Ltd)
'2929511000001101,Alphaderm 1%/10% cream (Alliance Pharmaceuticals Ltd)
'2929911000001108,Alphaderm 1%/10% cream (Alliance Pharmaceuticals Ltd)
'2930111000001102,Alphaderm 1%/10% cream (Alliance Pharmaceuticals Ltd)
'331976000,Fludroxycortide 0.0125% cream
'3675111000001104,Fludroxycortide 0.0125% cream
'3675411000001109,Haelan 0.0125% cream (Typharm Ltd)
'3675711000001103,Haelan 0.0125% cream (Typharm Ltd)
'32253411000001104,Fludroxycortide 0.0125% cream (Colorama Pharmaceuticals Ltd)
'32253611000001101,Fludroxycortide 0.0125% cream (Colorama Pharmaceuticals Ltd)
'33259111000001104,Fludroxycortide 0.0125% cream (Typharm Ltd)
'33259311000001102,Fludroxycortide 0.0125% cream (Typharm Ltd)
'34836511000001109,Fludroxycortide 0.0125% cream (Alliance Healthcare (Distribution) Ltd)
'34836611000001108,Fludroxycortide 0.0125% cream (Alliance Healthcare (Distribution) Ltd)
'34893611000001107,Fludroxycortide 0.0125% cream (A A H Pharmaceuticals Ltd)
'34893711000001103,Fludroxycortide 0.0125% cream (A A H Pharmaceuticals Ltd)
'3764811000001109,Ultralanum Plain cream (Meadow Laboratories Ltd)
'3764911000001104,Ultralanum Plain cream (Meadow Laboratories Ltd)
'331977009,Fludroxycortide 0.0125% ointment
'3825011000001108,Fludroxycortide 0.0125% ointment
'3825111000001109,Haelan 0.0125% ointment (Typharm Ltd)
'3825211000001103,Haelan 0.0125% ointment (Typharm Ltd)
'32253711000001105,Fludroxycortide 0.0125% ointment (Colorama Pharmaceuticals Ltd)
'32253811000001102,Fludroxycortide 0.0125% ointment (Colorama Pharmaceuticals Ltd)
'33345911000001109,Fludroxycortide 0.0125% ointment (Typharm Ltd)
'33346111000001100,Fludroxycortide 0.0125% ointment (Typharm Ltd)
'34837711000001101,Fludroxycortide 0.0125% ointment (Alliance Healthcare (Distribution) Ltd)
'34837811000001109,Fludroxycortide 0.0125% ointment (Alliance Healthcare (Distribution) Ltd)
'34894011000001103,Fludroxycortide 0.0125% ointment (A A H Pharmaceuticals Ltd)
'34894111000001102,Fludroxycortide 0.0125% ointment (A A H Pharmaceuticals Ltd)
'4418311000001102,Ultralanum Plain ointment (Meadow Laboratories Ltd)
'4418511000001108,Ultralanum Plain ointment (Meadow Laboratories Ltd)
'4747111000001104,Fludroxycortide 4micrograms/square cm tape 7.5cm
'4736711000001100,Fludroxycortide 4micrograms/square cm tape 7.5cm
'4737211000001109,Fludroxycortide 4micrograms/square cm tape 7.5cm
'32422211000001107,Fludroxycortide 4micrograms/square cm tape 7.5cm
'33220911000001108,Fludroxycortide 4micrograms/square cm tape 7.5cm
'33221111000001104,Fludroxycortide 4micrograms/square cm tape 7.5cm
'4736811000001108,Haelan 4micrograms/square cm tape 7.5cm (Typharm Ltd)
'4736911000001103,Haelan 4micrograms/square cm tape 7.5cm (Typharm Ltd)
'4737411000001108,Haelan 4micrograms/square cm tape 7.5cm (Typharm Ltd)
'32422311000001104,Haelan 4micrograms/square cm tape 7.5cm (Typharm Ltd)
'33220711000001106,Fludroxycortide 4micrograms/square cm tape 7.5cm (Typharm Ltd)
'33220811000001103,Fludroxycortide 4micrograms/square cm tape 7.5cm (Typharm Ltd)
'33221011000001100,Fludroxycortide 4micrograms/square cm tape 7.5cm (Typharm Ltd)
'33221211000001105,Fludroxycortide 4micrograms/square cm tape 7.5cm (Typharm Ltd)
'33568111000001106,Fludroxycortide 4micrograms/square cm tape 7.5cm (Alliance Healthcare (Distribution) Ltd)
'33568311000001108,Fludroxycortide 4micrograms/square cm tape 7.5cm (Alliance Healthcare (Distribution) Ltd)
'33659111000001102,Fludroxycortide 4micrograms/square cm tape 7.5cm (A A H Pharmaceuticals Ltd)
'33659211000001108,Fludroxycortide 4micrograms/square cm tape 7.5cm (A A H Pharmaceuticals Ltd)
'331937001,Fluocinolone acetonide 0.00625% ointment
'8387311000001109,Fluocinolone acetonide 0.00625% ointment
'8387911000001105,Synalar 1 in 4 Dilution 0.00625% ointment (Reig Jofre UK Ltd)
'8388511000001104,Synalar 1 in 4 Dilution 0.00625% ointment (Reig Jofre UK Ltd)
'15221811000001100,Coal tar 5% in Clobetasone 0.05% ointment
'15194211000001106,Coal tar 5% in Clobetasone 0.05% ointment
'22511811000001103,Coal tar 5% in Clobetasone 0.05% ointment
'15194311000001103,Coal tar 5% in Clobetasone 0.05% ointment (Special Order)
'15194411000001105,Coal tar 5% in Clobetasone 0.05% ointment (Special Order)
'22511911000001108,Coal tar 5% in Clobetasone 0.05% ointment (Special Order)
'15222011000001103,Coal tar solution 10% in Betamethasone valerate 0.025% ointment
'15195411000001106,Coal tar solution 10% in Betamethasone valerate 0.025% ointment
