SNOMEDCode,description
'325443009,Prednisolone 5mg gastro-resistant tablets
'1308311000001101,Prednisolone 5mg gastro-resistant tablets
'1104911000001102,Prednisolone 5mg gastro-resistant tablets
'1185811000001109,Prednisolone 5mg gastro-resistant tablets
'4208811000001108,Prednisolone 5mg gastro-resistant tablets
'662011000001105,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
'1427411000001106,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
'15510211000001109,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
'5057611000001100,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
'4749711000001106,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
'512811000001108,Prednisolone 5mg gastro-resistant tablets (Actavis UK Ltd)
'1427611000001109,Prednisolone 5mg gastro-resistant tablets (Actavis UK Ltd)
'17067911000001100,Prednisolone 5mg gastro-resistant tablets (Actavis UK Ltd)
'4683811000001100,Prednisolone 5mg gastro-resistant tablets (Actavis UK Ltd)
'447211000001105,Prednisolone 5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)
'11925411000001101,Prednisolone 5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)
'1427811000001108,Prednisolone 5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)
'331111000001100,Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd)
'1428111000001100,Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd)
'1428311000001103,Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd)
'255211000001101,Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)
'13654511000001109,Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)
'1428411000001105,Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)
'18033111000001109,Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)
'4208911000001103,Prednisolone 5mg gastro-resistant tablets (Approved Prescription Services Ltd)
'4209011000001107,Prednisolone 5mg gastro-resistant tablets (Approved Prescription Services Ltd)
'13245911000001103,Prednisolone 5mg gastro-resistant tablets (Dowelhurst Ltd)
'13246011000001106,Prednisolone 5mg gastro-resistant tablets (Dowelhurst Ltd)
'15176111000001100,Prednisolone 5mg gastro-resistant tablets (Sigma Pharmaceuticals Plc)
'15176311000001103,Prednisolone 5mg gastro-resistant tablets (Sigma Pharmaceuticals Plc)
'17916811000001103,Prednisolone 5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)
'17917011000001107,Prednisolone 5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)
'17999611000001109,Prednisolone 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd)
'17999811000001108,Prednisolone 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd)
'17999711000001100,Prednisolone 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd)
'18307211000001104,Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd)
'18307311000001107,Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd)
'20593711000001101,Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd)
'19743211000001104,Prednisolone 5mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)
'19743311000001107,Prednisolone 5mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)
'22453011000001108,Prednisolone 5mg gastro-resistant tablets (Waymade Healthcare Plc)
'22453111000001109,Prednisolone 5mg gastro-resistant tablets (Waymade Healthcare Plc)
'22520311000001107,Dilacort 5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd)
'22520611000001102,Dilacort 5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd)
'30114311000001108,Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals)
'30114411000001101,Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals)
'30114511000001102,Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals)
'32652511000001109,Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd)
'32652611000001108,Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd)
'33577911000001102,Dilacort 5mg gastro-resistant tablets (Teva UK Ltd)
'33578011000001100,Dilacort 5mg gastro-resistant tablets (Teva UK Ltd)
'34444511000001106,Prednisolone 5mg gastro-resistant tablets (Bristol Laboratories Ltd)
'34444611000001105,Prednisolone 5mg gastro-resistant tablets (Bristol Laboratories Ltd)
'325426006,Prednisolone 1mg tablets
'976211000001106,Prednisolone 1mg tablets
'1312311000001101,Prednisolone 1mg tablets
'1065811000001103,Prednisolone 1mg tablets
'14786511000001104,Prednisolone 1mg tablets
'649711000001109,Prednisolone 1mg tablets (A A H Pharmaceuticals Ltd)
'1428811000001107,Prednisolone 1mg tablets (A A H Pharmaceuticals Ltd)
'646211000001106,Prednisolone 1mg tablets (Actavis UK Ltd)
'1429011000001106,Prednisolone 1mg tablets (Actavis UK Ltd)
'238511000001107,Prednisolone 1mg tablets (Teva UK Ltd)
'1429211000001101,Prednisolone 1mg tablets (Teva UK Ltd)
'798611000001108,Prednisolone 1mg tablets (The Boots Company Plc)
'1429411000001102,Prednisolone 1mg tablets (The Boots Company Plc)
'844111000001103,Prednisolone 1mg tablets (Wockhardt UK Ltd)
'1429611000001104,Prednisolone 1mg tablets (Wockhardt UK Ltd)
'707911000001100,Prednisolone 1mg tablets (Kent Pharmaceuticals Ltd)
'1429711000001108,Prednisolone 1mg tablets (Kent Pharmaceuticals Ltd)
'1429911000001105,Prednisolone 1mg tablets (Kent Pharmaceuticals Ltd)
'52911000001107,Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd)
'1430411000001109,Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd)
'1430611000001107,Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd)
'9807711000001108,Prednisolone 1mg tablets (Almus Pharmaceuticals Ltd)
'9807811000001100,Prednisolone 1mg tablets (Almus Pharmaceuticals Ltd)
'10409611000001103,Prednisolone 1mg tablets (Arrow Generics Ltd)
'10409811000001104,Prednisolone 1mg tablets (Arrow Generics Ltd)
'13245311000001104,Prednisolone 1mg tablets (Dowelhurst Ltd)
'13245411000001106,Prednisolone 1mg tablets (Dowelhurst Ltd)
'14786411000001103,Prednisolone 1mg tablets (Boston Healthcare Ltd)
'14786611000001100,Prednisolone 1mg tablets (Boston Healthcare Ltd)
'15175511000001102,Prednisolone 1mg tablets (Sigma Pharmaceuticals Plc)
'15175611000001103,Prednisolone 1mg tablets (Sigma Pharmaceuticals Plc)
'18285011000001109,Prednisolone 1mg tablets (Strides Pharma UK Ltd)
'18285111000001105,Prednisolone 1mg tablets (Strides Pharma UK Ltd)
'21851211000001107,Prednisolone 1mg tablets (Waymade Healthcare Plc)
'21851311000001104,Prednisolone 1mg tablets (Waymade Healthcare Plc)
'30114811000001104,Prednisolone 1mg tablets (DE Pharmaceuticals)
'30114911000001109,Prednisolone 1mg tablets (DE Pharmaceuticals)
'30858911000001100,Prednisolone 1mg tablets (Mawdsley-Brooks & Company Ltd)
'30859011000001109,Prednisolone 1mg tablets (Mawdsley-Brooks & Company Ltd)
'32807911000001101,Prednisolone 1mg tablets (Genesis Pharmaceuticals Ltd)
'32808011000001104,Prednisolone 1mg tablets (Genesis Pharmaceuticals Ltd)
'325427002,Prednisolone 5mg tablets
'1085511000001104,Prednisolone 5mg tablets
'1167211000001103,Prednisolone 5mg tablets
'14786711000001109,Prednisolone 5mg tablets
'28798911000001106,Prednisolone 5mg tablets
'876911000001107,Prednisolone 5mg tablets (A A H Pharmaceuticals Ltd)
'1431411000001100,Prednisolone 5mg tablets (A A H Pharmaceuticals Ltd)
'85511000001101,Prednisolone 5mg tablets (Actavis UK Ltd)
'1431711000001106,Prednisolone 5mg tablets (Actavis UK Ltd)
'110811000001100,Prednisolone 5mg tablets (Teva UK Ltd)
'1431911000001108,Prednisolone 5mg tablets (Teva UK Ltd)
'86711000001103,Prednisolone 5mg tablets (The Boots Company Plc)
'1432311000001103,Prednisolone 5mg tablets (The Boots Company Plc)
'940311000001100,Prednisolone 5mg tablets (Wockhardt UK Ltd)
'1432611000001108,Prednisolone 5mg tablets (Wockhardt UK Ltd)
'13382311000001107,Prednisolone 5mg tablets (Wockhardt UK Ltd)
'350611000001104,Prednisolone 5mg tablets (Kent Pharmaceuticals Ltd)
'1433211000001100,Prednisolone 5mg tablets (Kent Pharmaceuticals Ltd)
'1433311000001108,Prednisolone 5mg tablets (Kent Pharmaceuticals Ltd)
'772111000001107,Prednisolone 5mg tablets (Alliance Healthcare (Distribution) Ltd)
'1433511000001102,Prednisolone 5mg tablets (Alliance Healthcare (Distribution) Ltd)
'1433711000001107,Prednisolone 5mg tablets (Alliance Healthcare (Distribution) Ltd)
'9807911000001105,Prednisolone 5mg tablets (Almus Pharmaceuticals Ltd)
'9808211000001102,Prednisolone 5mg tablets (Almus Pharmaceuticals Ltd)
'10410111000001103,Prednisolone 5mg tablets (Arrow Generics Ltd)
'10410211000001109,Prednisolone 5mg tablets (Arrow Generics Ltd)
'13245511000001105,Prednisolone 5mg tablets (Dowelhurst Ltd)
'13245611000001109,Prednisolone 5mg tablets (Dowelhurst Ltd)
'14786811000001101,Prednisolone 5mg tablets (Boston Healthcare Ltd)
'14786911000001106,Prednisolone 5mg tablets (Boston Healthcare Ltd)
'18285211000001104,Prednisolone 5mg tablets (Strides Pharma UK Ltd)
'18285311000001107,Prednisolone 5mg tablets (Strides Pharma UK Ltd)
'18625211000001107,Prednisolone 5mg tablets (Phoenix Healthcare Distribution Ltd)
'18625311000001104,Prednisolone 5mg tablets (Phoenix Healthcare Distribution Ltd)
'21851411000001106,Prednisolone 5mg tablets (Waymade Healthcare Plc)
'21851511000001105,Prednisolone 5mg tablets (Waymade Healthcare Plc)
'28799011000001102,Pevanti 5mg tablets (Advanz Pharma)
'28799111000001101,Pevanti 5mg tablets (Advanz Pharma)
'30115011000001109,Prednisolone 5mg tablets (DE Pharmaceuticals)
'30115111000001105,Prednisolone 5mg tablets (DE Pharmaceuticals)
'30859111000001105,Prednisolone 5mg tablets (Mawdsley-Brooks & Company Ltd)
'30859211000001104,Prednisolone 5mg tablets (Mawdsley-Brooks & Company Ltd)
'32808311000001101,Prednisolone 5mg tablets (Genesis Pharmaceuticals Ltd)
'32808411000001108,Prednisolone 5mg tablets (Genesis Pharmaceuticals Ltd)
'325442004,Prednisolone 2.5mg gastro-resistant tablets
'992811000001101,Prednisolone 2.5mg gastro-resistant tablets
'1125011000001108,Prednisolone 2.5mg gastro-resistant tablets
'1031911000001103,Prednisolone 2.5mg gastro-resistant tablets
'4208611000001109,Prednisolone 2.5mg gastro-resistant tablets
'858811000001104,Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
'1434011000001107,Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
'15510111000001103,Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
'17291211000001105,Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
'5057311000001105,Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
'380011000001100,Prednisolone 2.5mg gastro-resistant tablets (Actavis UK Ltd)
'1434211000001102,Prednisolone 2.5mg gastro-resistant tablets (Actavis UK Ltd)
'17067711000001102,Prednisolone 2.5mg gastro-resistant tablets (Actavis UK Ltd)
'17067811000001105,Prednisolone 2.5mg gastro-resistant tablets (Actavis UK Ltd)
'685311000001104,Prednisolone 2.5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)
'11925311000001108,Prednisolone 2.5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)
