SNOMEDCode,description
'375668004,Betamethasone dipropionate 0.05% cream
'954511000001100,Betamethasone dipropionate 0.05% cream
'1260911000001108,Betamethasone dipropionate 0.05% cream
'9011000001106,Diprosone 0.05% cream (Merck Sharp & Dohme Ltd)
'1720511000001103,Diprosone 0.05% cream (Merck Sharp & Dohme Ltd)
'1720611000001104,Diprosone 0.05% cream (Merck Sharp & Dohme Ltd)
'14321211000001100,Diprosone 0.05% cream (Sigma Pharmaceuticals Plc)
'14321311000001108,Diprosone 0.05% cream (Sigma Pharmaceuticals Plc)
'375669007,Betamethasone dipropionate 0.05% ointment
'1044211000001108,Betamethasone dipropionate 0.05% ointment
'953811000001100,Betamethasone dipropionate 0.05% ointment
'878711000001109,Diprosone 0.05% ointment (Merck Sharp & Dohme Ltd)
'1720911000001105,Diprosone 0.05% ointment (Merck Sharp & Dohme Ltd)
'1721011000001102,Diprosone 0.05% ointment (Merck Sharp & Dohme Ltd)
'14321511000001102,Diprosone 0.05% ointment (Sigma Pharmaceuticals Plc)
'14321611000001103,Diprosone 0.05% ointment (Sigma Pharmaceuticals Plc)
'331792000,Beclometasone 0.025% cream
'1249911000001109,Beclometasone 0.025% cream
'18436411000001103,Beclometasone 0.025% cream (Essential Generics Ltd)
'18436611000001100,Beclometasone 0.025% cream (Essential Generics Ltd)
'18659111000001103,Beclometasone 0.025% cream (Alliance Healthcare (Distribution) Ltd)
'18659211000001109,Beclometasone 0.025% cream (Alliance Healthcare (Distribution) Ltd)
'18752511000001108,Beclometasone 0.025% cream (A A H Pharmaceuticals Ltd)
'18752611000001107,Beclometasone 0.025% cream (A A H Pharmaceuticals Ltd)
'331793005,Beclometasone 0.025% ointment
'1204311000001100,Beclometasone 0.025% ointment
'18434811000001108,Beclometasone 0.025% ointment (Essential Generics Ltd)
'18435011000001103,Beclometasone 0.025% ointment (Essential Generics Ltd)
'18659311000001101,Beclometasone 0.025% ointment (Alliance Healthcare (Distribution) Ltd)
'18659411000001108,Beclometasone 0.025% ointment (Alliance Healthcare (Distribution) Ltd)
'18752811000001106,Beclometasone 0.025% ointment (A A H Pharmaceuticals Ltd)
'18752911000001101,Beclometasone 0.025% ointment (A A H Pharmaceuticals Ltd)
'426011000001100,Betnovate RD 0.025% ointment (GlaxoSmithKline UK Ltd)
'1922811000001107,Betnovate RD 0.025% ointment (GlaxoSmithKline UK Ltd)
'35910711000001107,Betamethasone dipropionate 0.05% / Salicylic acid 2% scalp application
'1181411000001109,Betamethasone dipropionate 0.05% / Salicylic acid 2% scalp application
'18253011000001104,Betamethasone dipropionate 0.05% / Salicylic acid 2% scalp application
'531811000001105,Diprosalic 0.05%/2% scalp application (Merck Sharp & Dohme Ltd)
'1926611000001109,Diprosalic 0.05%/2% scalp application (Merck Sharp & Dohme Ltd)
'10531311000001105,Diprosalic 0.05%/2% scalp application (Waymade Healthcare Plc)
'10531411000001103,Diprosalic 0.05%/2% scalp application (Waymade Healthcare Plc)
'30205411000001101,Diprosalic 0.05%/2% scalp application (Waymade Healthcare Plc)
'13158811000001103,Diprosalic 0.05%/2% scalp application (Dowelhurst Ltd)
