SNOMEDCode,description
'327071005,Azathioprine 25mg tablets
'1008211000001105,Azathioprine 25mg tablets
'948311000001103,Azathioprine 25mg tablets
'5492711000001106,Azathioprine 25mg tablets
'744711000001104,Azathioprine 25mg tablets (A A H Pharmaceuticals Ltd)
'2011511000001101,Azathioprine 25mg tablets (A A H Pharmaceuticals Ltd)
'2011611000001102,Azathioprine 25mg tablets (A A H Pharmaceuticals Ltd)
'544611000001107,Azathioprine 25mg tablets (Mylan)
'2018311000001100,Azathioprine 25mg tablets (Mylan)
'2018411000001107,Azathioprine 25mg tablets (Mylan)
'284711000001102,Imuran 25mg tablets (Aspen Pharma Trading Ltd)
'2018611000001105,Imuran 25mg tablets (Aspen Pharma Trading Ltd)
'338311000001105,Azathioprine 25mg tablets (Kent Pharmaceuticals Ltd)
'9456811000001101,Azathioprine 25mg tablets (Kent Pharmaceuticals Ltd)
'2018911000001104,Azathioprine 25mg tablets (Kent Pharmaceuticals Ltd)
'611111000001100,Azathioprine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
'2019011000001108,Azathioprine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
'2019111000001109,Azathioprine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
'3695011000001108,Azathioprine 25mg tablets (IVAX Pharmaceuticals UK Ltd)
'3695111000001109,Azathioprine 25mg tablets (IVAX Pharmaceuticals UK Ltd)
'5375011000001101,Imuran 25mg tablets (Waymade Healthcare Plc)
'5375111000001100,Imuran 25mg tablets (Waymade Healthcare Plc)
'5493011000001100,Azathioprine 25mg tablets (Dowelhurst Ltd)
'13179311000001103,Azathioprine 25mg tablets (Dowelhurst Ltd)
'5493811000001106,Azathioprine 25mg tablets (Dowelhurst Ltd)
'5493711000001103,Azathioprine 25mg tablets (Dowelhurst Ltd)
'5552111000001108,Imuran 25mg tablets (Dowelhurst Ltd)
'5552311000001105,Imuran 25mg tablets (Dowelhurst Ltd)
'5552211000001102,Imuran 25mg tablets (Dowelhurst Ltd)
'5866911000001101,Azathioprine 25mg tablets (Actavis UK Ltd)
'5867311000001104,Azathioprine 25mg tablets (Actavis UK Ltd)
'8388611000001100,Azathioprine 25mg tablets (Teva UK Ltd)
'8388711000001109,Azathioprine 25mg tablets (Teva UK Ltd)
'10643411000001106,Azathioprine 25mg tablets (Teva UK Ltd)
'13740711000001100,Azathioprine 25mg tablets (Tillomed Laboratories Ltd)
'13741111000001107,Azathioprine 25mg tablets (Tillomed Laboratories Ltd)
'14251711000001102,Imuran 25mg tablets (Sigma Pharmaceuticals Plc)
'14251911000001100,Imuran 25mg tablets (Sigma Pharmaceuticals Plc)
'15070411000001103,Azathioprine 25mg tablets (Sigma Pharmaceuticals Plc)
'15070511000001104,Azathioprine 25mg tablets (Sigma Pharmaceuticals Plc)
'29773311000001107,Azathioprine 25mg tablets (Sigma Pharmaceuticals Plc)
'16547711000001106,Imuran 25mg tablets (Stephar (U.K.) Ltd)
'16547811000001103,Imuran 25mg tablets (Stephar (U.K.) Ltd)
'17789111000001105,Azathioprine 25mg tablets (Phoenix Healthcare Distribution Ltd)
'17789211000001104,Azathioprine 25mg tablets (Phoenix Healthcare Distribution Ltd)
'17789311000001107,Azathioprine 25mg tablets (Phoenix Healthcare Distribution Ltd)
'21780411000001106,Azathioprine 25mg tablets (Waymade Healthcare Plc)
'21780511000001105,Azathioprine 25mg tablets (Waymade Healthcare Plc)
'21780611000001109,Azathioprine 25mg tablets (Waymade Healthcare Plc)
'22614111000001101,Azathioprine 25mg tablets (DE Pharmaceuticals)
'22614211000001107,Azathioprine 25mg tablets (DE Pharmaceuticals)
'30027411000001109,Azathioprine 25mg tablets (DE Pharmaceuticals)
'24505211000001107,Azathioprine 25mg tablets (Sandoz Ltd)
'24505411000001106,Azathioprine 25mg tablets (Sandoz Ltd)
'24505511000001105,Azathioprine 25mg tablets (Sandoz Ltd)
'29997811000001108,Azathioprine 25mg tablets (Mawdsley-Brooks & Company Ltd)
'29997911000001103,Azathioprine 25mg tablets (Mawdsley-Brooks & Company Ltd)
'29998011000001101,Azathioprine 25mg tablets (Mawdsley-Brooks & Company Ltd)
'327070006,Azathioprine 50mg tablets
'998711000001107,Azathioprine 50mg tablets
'1181511000001108,Azathioprine 50mg tablets
'5494811000001109,Azathioprine 50mg tablets
'41911000001104,Azathioprine 50mg tablets (A A H Pharmaceuticals Ltd)
'2019511000001100,Azathioprine 50mg tablets (A A H Pharmaceuticals Ltd)
'2019611000001101,Azathioprine 50mg tablets (A A H Pharmaceuticals Ltd)
'339911000001103,Azathioprine 50mg tablets (Actavis UK Ltd)
'2019711000001105,Azathioprine 50mg tablets (Actavis UK Ltd)
'24200111000001101,Azathioprine 50mg tablets (Actavis UK Ltd)
'715511000001100,Azathioprine 50mg tablets (Teva UK Ltd)
