SNOMEDCode,description
'14609711000001106,Pimecrolimus 1% cream
'3011311000001100,Pimecrolimus 1% cream
'4050611000001109,Pimecrolimus 1% cream
'4050711000001100,Pimecrolimus 1% cream
'3011411000001107,Elidel 1% cream (Meda Pharmaceuticals Ltd)
'3011511000001106,Elidel 1% cream (Meda Pharmaceuticals Ltd)
'4050811000001108,Elidel 1% cream (Meda Pharmaceuticals Ltd)
'4050911000001103,Elidel 1% cream (Meda Pharmaceuticals Ltd)
'407889001,Tacrolimus 0.03% ointment
'3382511000001102,Tacrolimus 0.03% ointment
'3382611000001103,Tacrolimus 0.03% ointment
'3383011000001101,Protopic 0.03% ointment (LEO Pharma)
'3383411000001105,Protopic 0.03% ointment (LEO Pharma)
'3383711000001104,Protopic 0.03% ointment (LEO Pharma)
'10839211000001102,Protopic 0.03% ointment (Waymade Healthcare Plc)
'10858211000001106,Protopic 0.03% ointment (Waymade Healthcare Plc)
'10839311000001105,Protopic 0.03% ointment (Waymade Healthcare Plc)
'14347311000001100,Protopic 0.03% ointment (Sigma Pharmaceuticals Plc)
'14347511000001106,Protopic 0.03% ointment (Sigma Pharmaceuticals Plc)
'407890005,Tacrolimus 0.1% ointment
'3384411000001108,Tacrolimus 0.1% ointment
'3384611000001106,Tacrolimus 0.1% ointment
'3384711000001102,Protopic 0.1% ointment (LEO Pharma)
'3384811000001105,Protopic 0.1% ointment (LEO Pharma)
'3385111000001104,Protopic 0.1% ointment (LEO Pharma)
'10839411000001103,Protopic 0.1% ointment (Waymade Healthcare Plc)
'10858311000001103,Protopic 0.1% ointment (Waymade Healthcare Plc)
'10839511000001104,Protopic 0.1% ointment (Waymade Healthcare Plc)
'14347811000001109,Protopic 0.1% ointment (Sigma Pharmaceuticals Plc)
'14347911000001104,Protopic 0.1% ointment (Sigma Pharmaceuticals Plc)
'18194711000001108,Protopic 0.1% ointment (Mawdsley-Brooks & Company Ltd)
'18194911000001105,Protopic 0.1% ointment (Mawdsley-Brooks & Company Ltd)
'36466111000001106,Tacrolimus 0.1% ointment (Teva UK Ltd)
'36466211000001100,Tacrolimus 0.1% ointment (Teva UK Ltd)
'36466311000001108,Tacrolimus 0.1% ointment (Teva UK Ltd)
'36526411000001103,Tacrolimus 0.1% ointment (Accord Healthcare Ltd)
'36526511000001104,Tacrolimus 0.1% ointment (Accord Healthcare Ltd)
'36526611000001100,Tacrolimus 0.1% ointment (Accord Healthcare Ltd)
'36529611000001108,Tacrolimus 0.1% ointment (A A H Pharmaceuticals Ltd)
'36529711000001104,Tacrolimus 0.1% ointment (A A H Pharmaceuticals Ltd)
'36530211000001102,Tacrolimus 0.1% ointment (A A H Pharmaceuticals Ltd)
'36647211000001107,Tacrolimus 0.1% ointment (Alliance Healthcare (Distribution) Ltd)
'36647511000001105,Tacrolimus 0.1% ointment (Alliance Healthcare (Distribution) Ltd)
'36647911000001103,Tacrolimus 0.1% ointment (Alliance Healthcare (Distribution) Ltd)
