SNOMEDCode,description
'346938005,Clobetasol 0.05% cream
'1326111000001106,Clobetasol 0.05% cream
'1232611000001109,Clobetasol 0.05% cream
'60611000001107,Dermovate 0.05% cream (GlaxoSmithKline UK Ltd)
'1933511000001104,Dermovate 0.05% cream (GlaxoSmithKline UK Ltd)
'1933611000001100,Dermovate 0.05% cream (GlaxoSmithKline UK Ltd)
'5258311000001104,Clobetasol 0.05% cream (Waymade Healthcare Plc)
'5258411000001106,Clobetasol 0.05% cream (Waymade Healthcare Plc)
'5259711000001109,Dermovate 0.05% cream (Waymade Healthcare Plc)
'5259811000001101,Dermovate 0.05% cream (Waymade Healthcare Plc)
'22068711000001103,Dermovate 0.05% cream (Waymade Healthcare Plc)
'13157611000001101,Dermovate 0.05% cream (Dowelhurst Ltd)
'13157811000001102,Dermovate 0.05% cream (Dowelhurst Ltd)
'13862711000001107,Dermovate 0.05% cream (DE Pharmaceuticals)
'13862811000001104,Dermovate 0.05% cream (DE Pharmaceuticals)
'14224011000001102,Dermovate 0.05% cream (Sigma Pharmaceuticals Plc)
'14224111000001101,Dermovate 0.05% cream (Sigma Pharmaceuticals Plc)
'16157611000001105,Dermovate 0.05% cream (Lexon (UK) Ltd)
'16157711000001101,Dermovate 0.05% cream (Lexon (UK) Ltd)
'16254111000001109,Dermovate 0.05% cream (Mawdsley-Brooks & Company Ltd)
'16254311000001106,Dermovate 0.05% cream (Mawdsley-Brooks & Company Ltd)
'16506911000001103,Clobetasol 0.05% cream (Mawdsley-Brooks & Company Ltd)
'16507111000001103,Clobetasol 0.05% cream (Mawdsley-Brooks & Company Ltd)
'18249911000001100,Dermovate 0.05% cream (Necessity Supplies Ltd)
'18250011000001109,Dermovate 0.05% cream (Necessity Supplies Ltd)
'347928005,Clobetasol 0.05% ointment
'1159011000001106,Clobetasol 0.05% ointment
'1310311000001100,Clobetasol 0.05% ointment
'724611000001106,Dermovate 0.05% ointment (GlaxoSmithKline UK Ltd)
'1933911000001106,Dermovate 0.05% ointment (GlaxoSmithKline UK Ltd)
'1934011000001109,Dermovate 0.05% ointment (GlaxoSmithKline UK Ltd)
'16253711000001108,Dermovate 0.05% ointment (Mawdsley-Brooks & Company Ltd)
'16253811000001100,Dermovate 0.05% ointment (Mawdsley-Brooks & Company Ltd)
'20450311000001109,Dermovate 0.05% ointment (Waymade Healthcare Plc)
'20450411000001102,Dermovate 0.05% ointment (Waymade Healthcare Plc)
'3405211000001103,"Clobetasol 500microgram / Neomycin 5mg / Nystatin 100,000units/g cream"
