prodcode,productname,ingredient,bnftext,routeofadministration,dmdcode,therapyevents,bnfchapter,emo,top_cs,tcal,oral_cs,aza,metho,cic,myco,potency,injection,new202007
14014,aquagel gel (adams healthcare),glycerol/carbomer,-,topical,2.16955001000e+17,197,65050900,1,,,,,,,,,,
29980,glycerol with carbomer gel,glycerol/carbomer,-,topical,2.08345001000e+17,2,65050900,1,,,,,,,,,,
3755,proflavine 0.1% cream,proflavine hemisulfate/chlorocresol/beeswax yellow/liquid paraffin/purified water,antibacterial preparations (for skin conditions),cutaneous,1.46132110000e+16,1845,13100100,1,,,,,,,,,,
30932,methotrexate 5mg/0.2ml solution for injection pre-filled syringes,methotrexate sodium,antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,intramuscular/intrathecal/intraarterial/intravenous,9469411000001104,89,08010300/10010302/13050300,,,,,,1,,,,,
77028,methotrexate 50mg/2ml solution for injection pre-filled syringes,methotrexate sodium,antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,intramuscular/intravenous/intraarterial/intrathecal,9469311000001106,17,08010300/10010302/13050300,,,,,,1,,,,,
27642,methotrexate 27.5mg/1.1ml solution for injection pre-filled syringes,methotrexate sodium,antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,intraarterial/intravenous/intramuscular/intrathecal,9468911000001104,77,08010300/10010302/13050300,,,,,,1,,,,,
30703,methotrexate 30mg/1.2ml solution for injection pre-filled syringes,methotrexate sodium,antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,intramuscular/intravenous/intraarterial/intrathecal,9469011000001108,2,08010300/10010302/13050300,,,,,,1,,,,,
51617,generic dermol cream,benzalkonium chloride/chlorhexidine hydrochloride/isopropyl myristate/liquid paraffin,antimicrobial emollients,cutaneous,7660511000001101,332,13020103,1,,,,,,,,,,
6993,dermol cream (dermal laboratories ltd),benzalkonium chloride/chlorhexidine hydrochloride/isopropyl myristate/liquid paraffin,antimicrobial emollients,cutaneous,7644411000001100,531338,13020103,1,,,,,,,,,,
63374,generic emulsiderm emollient,liquid paraffin/isopropyl myristate/benzalkonium chloride,antimicrobial emollients,cutaneous,3465711000001106,12,13020103,1,,,,,,,,,,
50261,generic dermol 500 lotion,benzalkonium chloride/chlorhexidine hydrochloride/liquid paraffin/isopropyl myristate,antimicrobial emollients,cutaneous,3395411000001105,363,13020103,1,,,,,,,,,,
1600,dermol 500 lotion (dermal laboratories ltd),benzalkonium chloride/chlorhexidine hydrochloride/liquid paraffin/isopropyl myristate,antimicrobial emollients,cutaneous,553611000001106,1692570,13020103,1,,,,,,,,,,
948,emulsiderm emollient (dermal laboratories ltd),liquid paraffin/isopropyl myristate/benzalkonium chloride,antimicrobial emollients,cutaneous,424511000001102,281227,13020103,1,,,,,,,,,,
27289,myfortic 360mg gastro-resistant tablets (novartis pharmaceuticals uk ltd),mycophenolate sodium,antiproliferative immunosuppressants,oral,8077811000001106,7454,08020100,,,,,,,,1,,,
53255,mycophenolate mofetil 250mg capsules (sigma pharmaceuticals plc),mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.87289110000e+16,7,08020100,,,,,,,,1,,,
76363,mycophenolate mofetil 100mg/5ml oral suspension,mycophenolate mofetil,antiproliferative immunosuppressants,oral,1.30003110000e+16,3,08020100,,,,,,,,1,,,
