prodcode,dmdcode,gemscriptcode,therapyevents,strength,bnfchapter,v12,v13,bnftext,productname,ingredient,formulation,routeofadministration,injection,sys_rx
53175,1.65619110000e+16,07439020,1,25mg,08020200/10010302/13050300,January 2013,07439020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 25mg capsules (mawdsley-brooks & company ltd),ciclosporin,capsule,oral,0,ciclosporin
32111,383711000001107,60981020,226,2.5mg,01050300/08010300/10010302/13050300,February 2009,03247009,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (hospira uk ltd),methotrexate,tablet,oral,0,methotrexate
52615,1.43447110000e+16,07444020,2,100mg,08020200/10010302/13050300,January 2013,07444020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 100mg capsules (sigma pharmaceuticals plc),ciclosporin,capsule,oral,0,ciclosporin
47102,1.76656110000e+16,99162020,540,50mg,08020200/10010302/13050300,May 2012,18225001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capimune 50mg capsules (generics (uk) ltd),ciclosporin,capsule,oral,0,ciclosporin
47042,2.03115001000e+17,77102020,10,100mg,01050300/08020200,April 2012,07755009,products affecting the immune response in chronic bowel problems/corticosteroids and other immunosuppressants,ciclosporin 100mg capsule (hillcross pharmaceuticals ltd),ciclosporin,capsule,oral,0,ciclosporin
47746,1.94298110000e+16,78624020,336,500mg,08020100,September 2012,08279009,antiproliferative immunosuppressants,mycophenolate motefil 500mg tablets (wockhardt uk ltd),mycophenolate mofetil,tablet,oral,0,mycophenolate
79083,6455001000027105,48811020,1,50mg,01050300/08020100,December 2019,00200009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,azathioprine 50mg tablet (celltech pharma europe ltd),azathioprine,tablet,oral,0,azathioprine
21889,,!4492101,8,,00000000,February 2009,!4492101,unknown,methotrexate 25mg/1ml,,,,0,methotrexate
49958,1.96179110000e+16,07441020,3,25mg,08020200/10010302/13050300,January 2013,07441020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 25mg capsules (de pharmaceuticals),ciclosporin,capsule,oral,0,ciclosporin
54867,2.12633110000e+16,44424020,28,50mg,08020200/10010302/13050300,May 2013,44424020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 50mg capsules (sigma pharmaceuticals plc),ciclosporin,capsule,oral,0,ciclosporin
