prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
1380,3765811000001105,8074,81070020,Entocort CR 3mg capsules (Tillotts Pharma Ltd),Budesonide,3mg,Modified-release capsule,Oral,1050200,Corticosteroids In Chronic Bowel Problems,Februar 2009
3898,35912611000001104,29561,81072020,Budesonide 3mg gastro-resistant modified-release capsules,Budesonide,3mg,Modified-release capsule,Oral,1050200,Corticosteroids In Chronic Bowel Problems,Februar 2009
6095,317446001,30700,83358020,Budesonide 3mg gastro-resistant capsules,Budesonide,3mg,Gastro-resistant capsule,Oral,1050200,Corticosteroids In Chronic Bowel Problems,Februar 2009
16525,3807811000001103,2535,79364020,Budenofalk 3mg gastro-resistant capsules (Dr. Falk Pharma UK Ltd),Budesonide,3mg,Gastro-resistant capsule,Oral,1050200,Corticosteroids In Chronic Bowel Problems,Februar 2009
37203,11880411000001104,991,88958020,Beclometasone 5mg gastro-resistant modified-release tablets,Beclometasone dipropionate,5mg,Modified-release tablet,Oral,1050200,Corticosteroids In Chronic Bowel Problems,Februar 2009
39067,11835611000001108,1018,88960020,Clipper 5mg gastro-resistant modified-release tablets (Chiesi Ltd),Beclometasone dipropionate,5mg,Modified-release tablet,Oral,1050200,Corticosteroids In Chronic Bowel Problems,Februar 2009
47225,19743911000001108,89,804021,Budesonide 9mg gastro-resistant granules sachets,Budesonide,9mg,Gastro-resistant granules,Oral,0,Unknown,Mai 2012
48088,19738311000001104,5,806021,Budenofalk 9mg gastro-resistant granules sachets (Dr. Falk Pharma UK Ltd),Budesonide,9mg,Gastro-resistant granules,Oral,0,Unknown,Dezember 2012
51997,19743911000001108,567,39412020,Budesonide 9mg gastro-resistant granules sachets,Budesonide,9mg,Gastro-resistant granules,Oral,1050200,Corticosteroids In Chronic Bowel Problems,Januar 2013
56144,19738311000001104,259,39413020,Budenofalk 9mg gastro-resistant granules sachets (Dr. Falk Pharma UK Ltd),Budesonide,9mg,Gastro-resistant granules,Oral,1050200,Corticosteroids In Chronic Bowel Problems,August 2013
60946,5363111000001107,47,528020,Entocort CR 3mg capsules (Waymade Healthcare Plc),Budesonide,3mg,Modified-release capsule,Oral,1050200,Corticosteroids In Chronic Bowel Problems,August 2014
63893,29094911000001100,709,49010021,Budesonide 9mg modified-release tablets,Budesonide,9mg,Modified-release tablet,Oral,1050200,Corticosteroids In Chronic Bowel Problems,Juli 2015
64557,29094211000001108,324,49011021,Cortiment 9mg modified-release tablets (Ferring Pharmaceuticals Ltd),Budesonide,9mg,Modified-release tablet,Oral,1050200,Corticosteroids In Chronic Bowel Problems,Oktober 2015
8306,36021411000001108,1101,66172020,Prednisolone 25mg/1ml suspension for injection ampoules,,,,,08020200/10010201/10010202,Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Local Corticosteroid Injections,February 2009
