medcode,readcode,desc,chapter,readv2_code,readv2_desc,termv2_desc,termv2_order,termv2_type,readv3_code,termv3_code,termv3_type,termv3_desc,is_assured
131,1B13.00,anxiousness,1,1B13.,Anxiousness,anxiousness,00,P,XE0rb,YM1eG,S,anxiousness,1
131,1B13.00,anxiousness,NA,1B13.,Anxiousness,anxiousness,00,P,Xa3Vj,Ya5rp,P,panic,0
131,1B13.00,anxiousness,NA,1B13.,Anxiousness,anxiousness,00,P,Xa7kB,YaV9s,P,anxiety attack,0
5902,1B13.11,anxiousness - symptom,NA,1B13.,Anxiousness,anxiousness - symptom,11,S,1B13.,YE0fr,P,anxiousness (& symptom),1
5902,1B13.11,anxiousness - symptom,NA,1B13.,Anxiousness,anxiousness - symptom,11,S,XE0rb,Ya5sj,P,feeling anxious,0
11890,1B1V.00,c/o - panic attack,1,1B1V.,C/O - panic attack,c/o - panic attack,00,P,XaIo7,YalNU,P,c/o - panic attack,1
18494,1Ba0.00,obsessional thoughts,1,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762c,Y7D9i,P,obsessional thoughts,1
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762d,Y7D9j,P,obsessional thoughts of harm occurring to property,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762e,Y7D9k,P,obsessional thoughts of being robbed,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762f,Y7D9l,P,obsessional thoughts of fire,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762g,Y7D9m,P,obsessional thoughts of explosions,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762h,Y7D9p,P,obsessional thoughts of causing accidents,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762i,Y7D9q,P,obsessional thoughts of poisoning,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762j,Y7D9r,P,obsessional thoughts of giving others illness,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762k,Y7D9u,P,obsessional thoughts of contamination,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762l,Y7D9v,P,obsessional thoughts of disease,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762m,Y7D9w,P,obsessional thoughts of dirt,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762n,Y7D9x,P,obsessional thoughts of germs,0
18494,1Ba0.00,obsessional thoughts,NA,1Ba0.,Obsessional thoughts,obsessional thoughts,00,P,X762o,Y7D9y,P,obsessional doubts,0
