medcode,readcode,desc,chapter,readv2_code,readv2_desc,termv2_desc,termv2_order,termv2_type,readv3_code,termv3_code,termv3_type,termv3_desc,is_assured
1996,1B17.00,depressed,1,1B17.,Depressed,depressed,00,P,1B17.,YM3yH,S,depressed,1
1996,1B17.00,depressed,NA,1B17.,Depressed,depressed,00,P,XE0uv,YE0hn,P,(depressed (& symptom)) or (unhappy),1
4824,1B17.11,c/o - feeling depressed,NA,1B17.,Depressed,c/o - feeling depressed,11,S,XM0CR,YM1ib,P,c/o - feeling depressed,1
9796,1B1U.00,symptoms of depression,1,1B1U.,Symptoms of depression,symptoms of depression,00,P,XaImU,YalJv,P,symptoms of depression,1
10015,1BT..00,depressed mood,1,1BT..,Depressed mood,depressed mood,00,P,XE0re,Y7D6y,P,depressed mood,1
10015,1BT..00,depressed mood,NA,1BT..,Depressed mood,depressed mood,00,P,Xa02E,Ya0v5,P,feeling of loss of feeling,0
100977,1JJ..00,suspected depression,1,1JJ..,Suspected depression,suspected depression,00,P,XaX0C,Yattn,P,suspected depression,1
48349,1S40.00,dysphoric mood,1,1S40.,Dysphoric mood,dysphoric mood,00,P,XaKUk,YanmS,P,dysphoric mood,1
19439,212S.00,depression resolved,2,212S.,Depression resolved,depression resolved,00,P,XaLG0,YaoJo,P,depression resolved,1
1908,2257.00,o/e - depressed,2,2257.,O/E - depressed,o/e - depressed,00,P,2257.,YM01B,P,o/e - depressed,1
108741,6658000,antidepressant drug treatment changed,6,66580,Antidepressant drug treatment changed,antidepressant drug treatment changed,00,P,XaZ2p,YavHs,P,antidepressant drug treatment changed,1
102632,6659000,antidepressant drug treatment started,6,66590,Antidepressant drug treatment started,antidepressant drug treatment started,00,P,XaXe3,YauOb,P,antidepressant drug treatment started,1
100179,665A000,antidepressant drug treatment stopped,6,665A0,Antidepressant drug treatment stopped,antidepressant drug treatment stopped,00,P,XaR9y,YatdE,P,antidepressant drug treatment stopped,1
44848,8BK0.00,depression management programme,8,8BK0.,Depression management programme,depression management programme,00,P,XaItx,Yale4,P,depression management programme,1
30483,8CAa.00,patient given advice about management of depression,8,8CAa.,Patient given advice about management of depression,patient given advice about management of depression,00,P,XaKEz,YanTp,P,patient given advice about management of depression,1
32841,8HHq.00,referral for guided self-help for depression,8,8HHq.,Referral for guided self-help for depression,referral for guided self-help for depression,00,P,XaL0r,Yao6g,P,referral for guided self-help for depression,1
112682,8IH5200,referral for guided self-help for depression declined,8,8IH52,Referral for guided self-help for depression declined,referral for guided self-help for depression declined,00,P,XaboL,YaxaO,P,referral for guided self-help for depression declined,1
12399,9H90.00,depression annual review,9,9H90.,Depression annual review,depression annual review,00,P,XaK6d,YanJb,P,depression annual review,1
12122,9H91.00,depression medication review,9,9H91.,Depression medication review,depression medication review,00,P,XaK6e,YanJc,P,depression medication review,1
30405,9H92.00,depression interim review,9,9H92.,Depression interim review,depression interim review,00,P,XaK6f,YanJd,P,depression interim review,1
42931,9HA0.00,on depression register,9,9HA0.,On depression register,on depression register,00,P,XaJWh,Yamb9,P,on depression register,1
48970,9hC..00,exception reporting: depression quality indicators,9,9hC..,Exception reporting: depression quality indicators,exception reporting: depression quality indicators,00,P,XaLFe,YaoJB,P,exception reporting: depression quality indicators,1
28970,9hC0.00,excepted from depression quality indicators: patient unsuita,9,9hC0.,Excepted from depression quality indicators: Patient unsuitable,excepted from depression quality indicators: patient unsuitable,00,P,XaLFq,YaoJZ,P,excepted from depression quality indicators: patient unsuitable,1
43239,9hC1.00,excepted from depression quality indicators: informed dissen,9,9hC1.,Excepted from depression quality indicators: Informed dissent,excepted from depression quality indicators: informed dissent,00,P,XaLFr,YaoJb,P,excepted from depression quality indicators: informed dissent,1
51258,9Ov..00,depression monitoring administration,9,9Ov..,Depression monitoring administration,depression monitoring administration,00,P,XaMGL,YapQl,P,depression monitoring administration,1
71009,9Ov0.00,depression monitoring first letter,9,9Ov0.,Depression monitoring first letter,depression monitoring first letter,00,P,XaMGN,YapQo,P,depression monitoring first letter,1
72966,9Ov1.00,depression monitoring second letter,9,9Ov1.,Depression monitoring second letter,depression monitoring second letter,00,P,XaMGO,YapQq,P,depression monitoring second letter,1
91105,9Ov2.00,depression monitoring third letter,9,9Ov2.,Depression monitoring third letter,depression monitoring third letter,00,P,XaMGP,YapQs,P,depression monitoring third letter,1
88644,9Ov3.00,depression monitoring verbal invite,9,9Ov3.,Depression monitoring verbal invite,depression monitoring verbal invite,00,P,XaMGQ,YapQu,P,depression monitoring verbal invite,1
85852,9Ov4.00,depression monitoring telephone invite,9,9Ov4.,Depression monitoring telephone invite,depression monitoring telephone invite,00,P,XaMGR,YapQw,P,depression monitoring telephone invite,1
2560,E11..12,depressive psychoses,E,E11..,Affective psychoses,depressive psychoses,12,S,E11..,YMK12,S,depressive psychoses,0
2560,E11..12,depressive psychoses,NA,E11..,Affective psychoses,depressive psychoses,12,S,X00SO,Y01FA,P,depressive disorder,0
10610,E112.00,single major depressive episode,E,E112.,Single major depressive episode,single major depressive episode,00,P,XE1Y0,Y01FQ,P,single major depressive episode,1
