medcode,readcode,desc,chapter,readv2_code,readv2_desc,termv2_desc,termv2_order,termv2_type,readv3_code,termv3_code,termv3_type,termv3_desc,is_assured
13223,M11..00,Atopic dermatitis and related conditions,M,M11..,Atopic dermatitis and related conditions,atopic dermatitis and related conditions,00,P,M11..,Y50Ca,P,atopic dermatitis and related conditions,1
1741,M111.00,Atopic dermatitis/eczema,M,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,M111.,Y50Co,P,atopic dermatitis,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,M07z.,YMKBR,S,infected dermatitis,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,M1...,Y50CU,S,dermatitis/dermatoses,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505d,Y50Dh,P,constitutional discoid hand eczema,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505e,Y50Di,P,constitutional fingertip eczema,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505f,Y50Dj,P,constitutional eczema of feet,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505K,Y50CT,P,eczema,1
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505l,Y50Du,P,psoriasiform eczema,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505M,Y50Cl,P,constitutional eczema,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505N,Y50Cu,P,atopic dermatitis of hands,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505O,Y50Cy,P,inverse pattern atopic dermatitis,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505P,Y50Cz,P,discoid atopic dermatitis,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505Q,Y50D0,P,erythrodermic atopic dermatitis,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505R,Y50D2,P,follicular atopic dermatitis,0
1741,M111.00,Atopic dermatitis/eczema,NA,M111.,Atopic dermatitis/eczema,atopic dermatitis/eczema,00,P,X505S,Y50D4,P,pruriginous atopic dermatitis,0
