medcode,readcode,desc,chapter,readv2_code,readv2_desc,termv2_desc,termv2_order,termv2_type,readv3_code,termv3_code,termv3_type,termv3_desc,is_assured
73300,5922.00,Betatron photon therapy,5,5922.,Betatron photon therapy,betatron photon therapy,00,P,5922.,YB038,P,betatron photon therapy,1
67048,727B100,Photodynamic therapy to subretinal lesion,7,727B1,Photodynamic therapy to subretinal lesion,photodynamic therapy to subretinal lesion,00,P,XaL4Q,YaoAK,P,photodynamic therapy to subretinal lesion,1
98504,727B200,Photodynamic therapy to choroidal neovascular membrane,7,727B2,Photodynamic therapy to choroidal neovascular membrane,photodynamic therapy to choroidal neovascular membrane,00,P,XaQYj,Yat7c,P,photodynamic therapy to choroidal neovascular membrane,1
97063,760C700,Fibreoptic endoscopic photodynamic therapy lesion oesophagus,7,760C7,Fibreoptic endoscopic photodynamic therapy of lesion of oesophagus,fibreoptic endoscopic photodynamic therapy of lesion of oesophagus,00,P,XaLd2,YaoiK,P,fibreoptic endoscopic photodynamic therapy of lesion of oesophagus,1
84373,7G0D.00,Photodynamic therapy of skin,7,7G0D.,Photodynamic therapy of skin,photodynamic therapy of skin,00,P,XaMp0,Yapq1,P,photodynamic therapy of skin,1
96073,7G0D000,Photodynamic therapy of skin of whole body,7,7G0D0,Photodynamic therapy of skin of whole body,photodynamic therapy of skin of whole body,00,P,XaMp1,Yapq2,P,photodynamic therapy of skin of whole body,1
83490,7G0Dy00,Other specified photodynamic therapy of skin,7,7G0Dy,Other specified photodynamic therapy of skin,other specified photodynamic therapy of skin,00,P,XaMp2,Yapq3,P,other specified photodynamic therapy of skin,1
94831,7G0Dz00,Photodynamic therapy of skin NOS,7,7G0Dz,Photodynamic therapy of skin NOS,photodynamic therapy of skin nos,00,P,XaMp3,Yapq4,P,photodynamic therapy of skin nos,1
88202,7G0E.00,Phototherapy to skin,7,7G0E.,Phototherapy to skin,phototherapy to skin,00,P,XaMpO,YapqK,P,phototherapy to skin,1
93602,7G0E200,Combined photochemotherapy and UVA light therapy to skin,7,7G0E2,Combined photochemotherapy and ultraviolet A light therapy to skin,combined photochemotherapy and ultraviolet a light therapy to skin,00,P,XaMp7,Yapq9,P,combined photochemotherapy and ultraviolet a light therapy to skin,1
