prodcode,dmdcode,bnfcode,cprd_name,productname,drugsubstance,strength,formulation,route,snomed_code,dm_d_product_description,bnf_name
14014,NA,NA,aquagel gel (adams healthcare),NA,NA,NA,NA,NA,NA,NA,NA
29980,NA,NA,glycerol with carbomer gel,NA,NA,NA,NA,NA,NA,NA,NA
3755,14613211000001104,NA,proflavine 0.1% cream,Proflavine 0.1% cream,Proflavine hemisulfate/Chlorocresol/Beeswax yellow/Liquid paraffin/Purified water,1mg/1gram + 1mg/1gram + 25mg/1gram + 673mg/1gram + 250mg/1gram,Cream,Cutaneous,NA,NA,NA
30932,9469411000001104,0801030P0AABPBP,methotrexate 5mg/0.2ml solution for injection pre-filled syringes,Methotrexate 5mg/0.2ml solution for injection pre-filled syringes,Methotrexate sodium,25mg/1ml,Solution for injection,Intramuscular/Intravenous/Intraarterial/Intrathecal,9469411000001104,Methotrexate 5mg/0.2ml solution for injection pre-filled syringes,Methotrexate 5mg/0.2ml inj pre-filled syringes
77028,NA,NA,methotrexate 50mg/2ml solution for injection pre-filled syringes,NA,NA,NA,NA,NA,NA,NA,NA
27642,9468911000001104,0801030P0AADRDR,methotrexate 27.5mg/1.1ml solution for injection pre-filled syringes,Methotrexate 27.5mg/1.1ml solution for injection pre-filled syringes,Methotrexate sodium,25mg/1ml,Solution for injection,Intramuscular/Intrathecal/Intraarterial/Intravenous,9468911000001104,Methotrexate 27.5mg/1.1ml solution for injection pre-filled syringes,Methotrexate 27.5mg/1.1ml inj pre-filled syringes
30703,9469011000001108,0801030P0AACGCG,methotrexate 30mg/1.2ml solution for injection pre-filled syringes,Methotrexate 30mg/1.2ml solution for injection pre-filled syringes,Methotrexate sodium,25mg/1ml,Solution for injection,Intramuscular/Intrathecal/Intraarterial/Intravenous,9469011000001108,Methotrexate 30mg/1.2ml solution for injection pre-filled syringes,Methotrexate 30mg/1.2ml inj pre-filled syringes
51617,7660511000001101,130201000BBKFA0,generic dermol cream,Generic Dermol cream,Isopropyl myristate/Chlorhexidine hydrochloride/Benzalkonium chloride/Liquid paraffin,100mg/1gram + 1mg/1gram + 1mg/1gram + 100mg/1gram,Cream,Cutaneous,7660511000001101,Generic Dermol cream,Dermol cream
6993,7644411000001100,130201000BBKFA0,dermol cream (dermal laboratories ltd),Dermol cream (Dermal Laboratories Ltd),Isopropyl myristate/Chlorhexidine hydrochloride/Benzalkonium chloride/Liquid paraffin,100mg/1gram + 1mg/1gram + 1mg/1gram + 100mg/1gram,Cream,Cutaneous,7644411000001100,Dermol cream (Dermal Laboratories Ltd),Dermol cream
63374,3465711000001106,1302011M0AAAEAE,generic emulsiderm emollient,Generic Emulsiderm emollient,Liquid paraffin/Isopropyl myristate/Benzalkonium chloride,250mg/1gram + 250mg/1gram + 5mg/1gram,Bath additive,Cutaneous,3465711000001106,Generic Emulsiderm emollient,Generic Emulsiderm emollient
